1556303816620;758
1556303817595;770
1556303817595;759
1556303818618;741
1556303819591;706
1556303820616;704
1556303820616;708
1556303821591;717
1556303822615;719
1556303822615;710
1556303823589;763
1556303823589;317
1556303824613;304
1556303824613;826
1556303825588;694
1556303826612;724
1556303827590;756
1556303827590;763
1556303828612;752
1556303829585;742
1556303829585;730
1556303830608;728
1556303831585;705
1556303832611;701
1556303832611;747
1556303833582;771
1556303834607;717
1556303834607;740
1556303835583;742
1556303836608;767
1556303837583;773
1556303837583;774
1556303838606;743
1556303839579;692
1556303840604;676
1556303840604;682
1556303841581;695
1556303842605;731
1556303842605;733
1556303843580;738
1556303844601;712
1556303844601;712
1556303845748;720
1556303846745;726
1556303847742;729
1556303847742;704
1556303848740;650
1556303848740;636
1556303849739;628
1556303850735;643
1556303850735;645
1556303851732;676
1556303852730;728
1556303852730;708
1556303854228;706
1556303854727;730
1556303855724;739
1556303855724;737
1556303856721;692
1556303857720;680
1556303857720;678
1556303858726;673
1556303859714;672
1556303859714;692
1556303860714;680
1556303861708;703
1556303861708;719
1556303862706;737
1556303863704;742
1556303863704;704
1556303864703;655
1556303865700;662
1556303865700;680
1556303866697;690
1556303867693;688
1556303867693;685
1556303868691;717
1556303869689;744
