1	2019-06-25	17:07:00	[-0.1485595703125, 1.07177734375, -1.7890625, -0.05194091796875]
2	2019-06-25	17:07:00	[-0.2333984375, 1.57568359375, 1.85284423828125, -0.076416015625]
3	2019-06-25	17:07:00	[-0.07769775390625, 0.5791015625, 0.68060302734375, -0.02960205078125]
4	2019-06-25	17:07:00	[-0.08233642578125, 0.6453857421875, 0.758056640625, -0.03631591796875]
5	2019-06-25	17:07:00	[-0.07757568359375, 0.64599609375, 0.75830078125, -0.04010009765625]
6	2019-06-25	17:07:00	[-0.07281494140625, 0.6463623046875, 0.75823974609375, -0.04376220703125]
7	2019-06-25	17:07:00	[-0.0682373046875, 0.64666748046875, 0.7581787109375, -0.04736328125]
8	2019-06-25	17:07:00	[-0.06365966796875, 0.64697265625, 0.75811767578125, -0.05096435546875]
9	2019-06-25	17:07:00	[-0.0592041015625, 0.647216796875, 0.75799560546875, -0.05450439453125]
10	2019-06-25	17:07:00	[-0.05474853515625, 0.6474609375, 0.75787353515625, -0.05804443359375]
11	2019-06-25	17:07:00	[-0.05029296875, 0.64764404296875, 0.75775146484375, -0.0615234375]
12	2019-06-25	17:07:00	[-0.0458984375, 0.64776611328125, 0.75762939453125, -0.06500244140625]
13	2019-06-25	17:07:00	[-0.04150390625, 0.64776611328125, 0.757568359375, -0.0684814453125]
14	2019-06-25	17:07:00	[-0.037109375, 0.64776611328125, 0.7574462890625, -0.0718994140625]
15	2019-06-25	17:07:00	[-0.03277587890625, 0.64776611328125, 0.75738525390625, -0.07525634765625]
16	2019-06-25	17:07:00	[-0.02850341796875, 0.647705078125, 0.7572021484375, -0.07861328125]
17	2019-06-25	17:07:00	[-0.02435302734375, 0.64776611328125, 0.75701904296875, -0.0819091796875]
18	2019-06-25	17:07:00	[-0.02020263671875, 0.64776611328125, 0.7567138671875, -0.08514404296875]
19	2019-06-25	17:07:00	[-0.01611328125, 0.64776611328125, 0.7564697265625, -0.08843994140625]
20	2019-06-25	17:07:00	[-0.01202392578125, 0.64776611328125, 0.75616455078125, -0.09161376953125]
21	2019-06-25	17:07:00	[-0.0079345703125, 0.647705078125, 0.755859375, -0.0948486328125]
22	2019-06-25	17:07:00	[-0.00384521484375, 0.64764404296875, 0.75555419921875, -0.0980224609375]
23	2019-06-25	17:07:00	[0.0001220703125, 0.6475830078125, 0.75518798828125, -0.10113525390625]
24	2019-06-25	17:07:00	[0.00408935546875, 0.647705078125, 0.75469970703125, -0.1041259765625]
25	2019-06-25	17:07:00	[0.0079345703125, 0.64794921875, 0.7540283203125, -0.10711669921875]
26	2019-06-25	17:07:00	[0.01177978515625, 0.64825439453125, 0.75323486328125, -0.11004638671875]
27	2019-06-25	17:07:00	[0.015625, 0.648681640625, 0.75238037109375, -0.11297607421875]
28	2019-06-25	17:07:00	[0.0194091796875, 0.649169921875, 0.75146484375, -0.11590576171875]
29	2019-06-25	17:07:00	[0.023193359375, 0.6495361328125, 0.75054931640625, -0.1187744140625]
30	2019-06-25	17:07:00	[0.0269775390625, 0.64984130859375, 0.749755859375, -0.12152099609375]
31	2019-06-25	17:07:00	[0.03076171875, 0.6500244140625, 0.7490234375, -0.124267578125]
32	2019-06-25	17:07:00	[0.0345458984375, 0.650146484375, 0.748291015625, -0.12689208984375]
33	2019-06-25	17:07:00	[0.038330078125, 0.65020751953125, 0.74761962890625, -0.12945556640625]
34	2019-06-25	17:07:00	[0.04205322265625, 0.6502685546875, 0.74688720703125, -0.13201904296875]
35	2019-06-25	17:07:00	[0.04571533203125, 0.6502685546875, 0.74627685546875, -0.134521484375]
36	2019-06-25	17:07:00	[0.04925537109375, 0.65020751953125, 0.74560546875, -0.136962890625]
37	2019-06-25	17:07:00	[0.05279541015625, 0.65020751953125, 0.74493408203125, -0.13934326171875]
38	2019-06-25	17:07:00	[0.0562744140625, 0.65020751953125, 0.7442626953125, -0.1417236328125]
39	2019-06-25	17:07:00	[0.059814453125, 0.650146484375, 0.7435302734375, -0.14404296875]
40	2019-06-25	17:07:00	[0.0633544921875, 0.65020751953125, 0.7427978515625, -0.14630126953125]
41	2019-06-25	17:07:00	[0.06683349609375, 0.65020751953125, 0.7420654296875, -0.1485595703125]
42	2019-06-25	17:07:00	[0.0703125, 0.650146484375, 0.7413330078125, -0.1507568359375]
43	2019-06-25	17:07:00	[0.07379150390625, 0.6500244140625, 0.7406005859375, -0.1529541015625]
44	2019-06-25	17:07:00	[0.0771484375, 0.64984130859375, 0.74005126953125, -0.1551513671875]
45	2019-06-25	17:07:00	[0.08050537109375, 0.6495361328125, 0.739501953125, -0.1572265625]
46	2019-06-25	17:07:00	[0.08380126953125, 0.64923095703125, 0.73895263671875, -0.1593017578125]
47	2019-06-25	17:07:00	[0.0870361328125, 0.64898681640625, 0.73834228515625, -0.16131591796875]
48	2019-06-25	17:07:00	[0.09027099609375, 0.6488037109375, 0.7376708984375, -0.16326904296875]
49	2019-06-25	17:07:00	[0.0933837890625, 0.64874267578125, 0.7369384765625, -0.16522216796875]
50	2019-06-25	17:07:00	[0.09649658203125, 0.64862060546875, 0.7362060546875, -0.167236328125]
51	2019-06-25	17:07:00	[0.09954833984375, 0.64849853515625, 0.73541259765625, -0.169189453125]
52	2019-06-25	17:07:00	[0.1025390625, 0.6483154296875, 0.7347412109375, -0.171142578125]
53	2019-06-25	17:07:00	[0.10540771484375, 0.64813232421875, 0.7340087890625, -0.1729736328125]
54	2019-06-25	17:07:00	[0.10821533203125, 0.64801025390625, 0.73333740234375, -0.1748046875]
