fsr,angulo,x,y,z,rX,rY,rZ
312,-1.9791259765625,1.9498291015625,0.0181884765625,-1.923583984375,-63.90176103614306,40.58647379407999,62.396091353654924
312,0.5150146484375,-0.5689697265625,0.01861572265625,0.6082763671875,-61.08839231728921,47.86162760952475,70.14326814081575
314,0.524169921875,-0.58404541015625,0.01953125,0.61944580078125,-61.67525313494759,48.079778639706205,69.70070099890705
314,0.52239990234375,-0.5872802734375,0.02008056640625,0.61785888671875,-62.28204588577781,48.30775639449598,69.24919196454175
314,0.52069091796875,-0.5904541015625,0.02069091796875,0.61627197265625,-62.881351163347084,48.532114519674515,68.79312100733682
313,0.5189208984375,-0.59368896484375,0.021240234375,0.61468505859375,-63.49889241488186,48.753635697183455,68.33040268523885
314,0.51708984375,-0.59686279296875,0.02178955078125,0.613037109375,-64.1218427555651,48.972575656297266,67.862566822877
312,0.51531982421875,-0.60003662109375,0.02239990234375,0.6114501953125,-64.73945865727502,49.19103164090831,67.39235527439148
313,0.51348876953125,-0.60321044921875,0.02294921875,0.60986328125,-65.36730915605031,49.40473739106518,66.92133605725861
312,0.51165771484375,-0.60638427734375,0.02349853515625,0.60821533203125,-66.006653820264,49.6134973832561,66.4364776072636
314,0.50982666015625,-0.6094970703125,0.0240478515625,0.60662841796875,-66.63704931305662,49.818773012380134,65.96036371553235
316,0.5079345703125,-0.6126708984375,0.024658203125,0.60498046875,-67.28742198958051,50.029776741735446,65.46406787493382
320,0.50604248046875,-0.61578369140625,0.02520751953125,0.60333251953125,-67.937377860255,50.23038094557975,64.97070419957183
320,0.504150390625,-0.618896484375,0.02581787109375,0.6016845703125,-68.59062545744213,50.43269542173398,64.4690376651689
319,0.50225830078125,-0.62200927734375,0.0263671875,0.60009765625,-69.24520823687293,50.62776170342891,63.97275272397641
319,0.5003662109375,-0.6251220703125,0.0269775390625,0.59844970703125,-69.90941100838798,50.82270167161047,63.4597434931363
320,0.4984130859375,-0.62823486328125,0.02752685546875,0.59674072265625,-70.59026215050405,51.01070747887872,62.93746722825654
318,0.49652099609375,-0.63128662109375,0.028076171875,0.5950927734375,-71.25876860162087,51.191495061084744,62.42253961431176
318,0.49456787109375,-0.63433837890625,0.02862548828125,0.59344482421875,-71.93549336892295,51.37248341209801,61.90403919089478
319,0.49267578125,-0.63739013671875,0.0291748046875,0.59173583984375,-72.62077719103901,51.54364361148116,61.36993605617148
319,0.49072265625,-0.640380859375,0.02972412109375,0.590087890625,-73.2993788788323,51.71581770787118,60.84717554191326
319,0.48870849609375,-0.6434326171875,0.0302734375,0.58837890625,-74.00141524704031,51.88702267989355,60.30564138339521
318,0.48675537109375,-0.64642333984375,0.0308837890625,0.58673095703125,-74.68881458383605,52.056559635307224,59.768939302251155
317,0.4847412109375,-0.6494140625,0.03143310546875,0.58502197265625,-75.3926945367686,52.21872112196014,59.22322288918567
316,0.4827880859375,-0.65240478515625,0.031982421875,0.5833740234375,-76.09149681677435,52.374912981173395,58.67962422770067
311,0.48077392578125,-0.65533447265625,0.03253173828125,0.5816650390625,-76.79672081974498,52.52808320558161,58.1302619803831
310,0.47882080078125,-0.65826416015625,0.03302001953125,0.5799560546875,-77.50413229339361,52.66788440536753,57.57858056649825
307,0.47686767578125,-0.66119384765625,0.03350830078125,0.57818603515625,-78.22257699102482,52.801199084798505,57.01374696972228
305,0.47491455078125,-0.6640625,0.03399658203125,0.576416015625,-78.93672438766336,52.929662226806855,56.45111298872941
304,0.47296142578125,-0.6669921875,0.034423828125,0.57464599609375,-79.66449442469705,53.04917721633856,55.88155193180723
304,0.47100830078125,-0.66986083984375,0.03485107421875,0.5728759765625,-80.38753461423391,53.16388118179886,55.31463851044041
305,0.468994140625,-0.67279052734375,0.03533935546875,0.57110595703125,-81.12654066961535,53.283782031752686,54.733614285178405
307,0.46697998046875,-0.6756591796875,0.03582763671875,0.5693359375,-81.86091949412611,53.39885123135532,54.155148743097904
306,0.4649658203125,-0.678466796875,0.03631591796875,0.56756591796875,-82.59053924536448,53.50921128201547,53.579394914226874
307,0.462890625,-0.68133544921875,0.036865234375,0.5657958984375,-83.3366457736494,53.62446282151115,52.98900072747948
306,0.46075439453125,-0.68414306640625,0.0374755859375,0.5640869140625,-84.07575279078426,53.74673304343653,52.40550126546691
305,0.45867919921875,-0.68695068359375,0.03802490234375,0.5623779296875,-84.81453067168269,53.855507655539775,51.822225685720504
304,0.45654296875,-0.68975830078125,0.03857421875,0.56060791015625,-85.56844136043446,53.96093261208538,51.22663213218489
304,0.4544677734375,-0.69256591796875,0.0391845703125,0.558837890625,-86.32122705522349,54.06284215310662,50.62240088698571
304,0.45233154296875,-0.6953125,0.03973388671875,0.55706787109375,-87.07382873535471,54.159025951132385,50.026033491646395
305,0.4501953125,-0.6981201171875,0.040283203125,0.5552978515625,-87.838401321968,54.250467986590756,49.419512563006805
301,0.4481201171875,-0.70086669921875,0.04083251953125,0.553466796875,-88.59913407952426,54.33045262027064,48.80812680310527
293,0.44598388671875,-0.70355224609375,0.0413818359375,0.55169677734375,-89.35283767096,54.41285442220534,48.20854582257315
292,0.44384765625,-0.706298828125,0.04193115234375,0.54986572265625,-90.12460032276553,54.487232655731155,47.59084190663082
291,0.44171142578125,-0.708984375,0.04248046875,0.548095703125,-90.88397973418913,54.560280061097444,46.98545683917033
288,0.4395751953125,-0.71160888671875,0.04302978515625,0.54632568359375,-91.63750600499048,54.62906503633456,46.384000676762255
284,0.43743896484375,-0.71429443359375,0.0435791015625,0.5445556640625,-92.40191140670528,54.69279191184712,45.773466194847835
