angulo,x,y,z,rX,rY,rZ
-0.91802978515625,0.5362548828125,-0.64471435546875,0.27978515625,-80.8028251743682,32.95849678711988,-62.16279671999801
-0.7012939453125,0.412353515625,-0.500244140625,0.2113037109375,-81.63124902685698,33.45056015240061,-62.632985136509376
-0.7139892578125,0.42169189453125,-0.51715087890625,0.21221923828125,-82.40582569676062,34.01773875305131,-63.0935576458666
-0.71087646484375,0.4217529296875,-0.52294921875,0.20819091796875,-83.20889400998396,34.60193067390318,-63.56891679253142
-0.707763671875,0.42181396484375,-0.5286865234375,0.20416259765625,-84.0188752208318,35.177064567219965,-64.05196856290885
-0.70458984375,0.421875,-0.53436279296875,0.20013427734375,-84.84150814036774,35.74202131448052,-64.54742517003889
-0.70135498046875,0.42193603515625,-0.53997802734375,0.1961669921875,-85.67568018032578,36.29200055569336,-65.05954160395535
-0.69818115234375,0.4219970703125,-0.5455322265625,0.1922607421875,-86.50975665024276,36.829008548910195,-65.57856023616775
-0.69488525390625,0.42205810546875,-0.55096435546875,0.1883544921875,-87.35769909429293,37.351132353801304,-66.10889796834337
-0.691650390625,0.422119140625,-0.5562744140625,0.1844482421875,-88.20171479440243,37.86186500229525,-66.63569448616447
-0.6883544921875,0.42218017578125,-0.5615234375,0.18060302734375,-89.05704706829871,38.35733457873569,-67.17850205834864
-0.68511962890625,0.4222412109375,-0.566650390625,0.1767578125,-89.90790762572128,38.84162892706505,-67.71708561219538
-0.68182373046875,0.42236328125,-0.57171630859375,0.17291259765625,-90.77517777250698,39.31140871016989,-68.26585092648102
-0.67852783203125,0.42242431640625,-0.57672119140625,0.1690673828125,-91.645181643118,39.77579094572441,-68.8228715681504
-0.67529296875,0.4224853515625,-0.5816650390625,0.1651611328125,-92.51704639097295,40.23696638604288,-69.37760690854846
-0.6719970703125,0.42242431640625,-0.5865478515625,0.16119384765625,-93.39646064913727,40.70039633562913,-69.94422613476385
-0.668701171875,0.42236328125,-0.59136962890625,0.1572265625,-94.28272253254404,41.154527654431334,-70.51771516180322
-0.66546630859375,0.4222412109375,-0.59619140625,0.1531982421875,-95.17318827878832,41.612258694888276,-71.09765296241471
-0.66217041015625,0.42218017578125,-0.60089111328125,0.14923095703125,-96.07305572454962,42.04771689514748,-71.6847004730758
-0.658935546875,0.42205810546875,-0.60546875,0.145263671875,-96.9641015809882,42.477046066037985,-72.2681111982877
